manufacturer,year,model,total_range_in_mls
Chevrolet,2023,Bolt EV,259
Chevrolet,2022,Bolt EV,259
Chevrolet,2019,Bolt EV,238
Chevrolet,2021,Bolt EV,259
Chevrolet,2020,Bolt EV,259
Chevrolet,2023,Bolt EUV,247
Chevrolet,2022,Bolt EUV,247
Chevrolet,2024,Blazer EV AWD,279
Chevrolet,2019,Volt,393
Chevrolet,2024,Silverado EV,450
Chevrolet,2024,Silverado EV,598
Chevrolet,2019,Malibu Hybrid,500
Chevrolet,2019,Cruze,472
Chevrolet,2019,Cruze Hatchback,452
Chevrolet,2019,Cruze,297
Chevrolet,2022,Spark,297
Chevrolet,2021,Spark,297
Chevrolet,2020,Spark,297
Chevrolet,2019,Spark,297
Chevrolet,2022,Spark ACTIV,297
Chevrolet,2021,Spark ACTIV,297
Chevrolet,2020,Spark ACTIV,297
Chevrolet,2019,Spark ACTIV,297
Chevrolet,2022,Spark,297
Chevrolet,2021,Spark,297
Chevrolet,2020,Spark,297
Chevrolet,2019,Spark,288
Chevrolet,2022,Spark ACTIV,288
Chevrolet,2021,Spark ACTIV,288
Chevrolet,2020,Spark ACTIV,288
Chevrolet,2019,Spark ACTIV,506
Chevrolet,2022,Malibu,506
Chevrolet,2021,Malibu,506
Chevrolet,2020,Malibu,477
Chevrolet,2019,Malibu,438
Chevrolet,2019,Equinox FWD,438
Chevrolet,2019,Cruze,438
Chevrolet,2019,Cruze Hatchback,499
Chevrolet,2019,Cruze Premier,409
Chevrolet,2019,Equinox AWD,409
Chevrolet,2024,Trailblazer FWD,409
Chevrolet,2023,Trailblazer FWD,409
Chevrolet,2022,Trailblazer FWD,425
Chevrolet,2021,Trailblazer FWD,378
Chevrolet,2019,Cruze Premier Hatchback,396
Chevrolet,2019,Sonic,396
Chevrolet,2023,Trailblazer FWD,474
Chevrolet,2022,Trailblazer FWD,383
Chevrolet,2024,Trax,354
Chevrolet,2023,Malibu,354
Chevrolet,2021,Trailblazer FWD,354
Chevrolet,2019,Sonic 5,354
Chevrolet,2020,Sonic,354
Chevrolet,2019,Sonic,417
Chevrolet,2020,Sonic 5,417
Chevrolet,2019,Sonic 5,417
Chevrolet,2019,Equinox FWD,417
Chevrolet,2024,Equinox FWD,417
Chevrolet,2023,Equinox FWD,417
Chevrolet,2022,Equinox FWD,392
Chevrolet,2021,Equinox FWD,392
Chevrolet,2020,Equinox FWD,392
Chevrolet,2019,Trax,370
Chevrolet,2021,Trax FWD,370
Chevrolet,2020,Trax FWD,370
Chevrolet,2023,Trailblazer AWD,356
Chevrolet,2022,Trailblazer AWD,421
Chevrolet,2021,Trailblazer AWD,421
Chevrolet,2024,Trailblazer AWD,421
Chevrolet,2022,Equinox AWD,421
Chevrolet,2021,Equinox AWD,378
Chevrolet,2020,Equinox AWD,378
Chevrolet,2019,Equinox AWD,648
Chevrolet,2022,Trax FWD,648
Chevrolet,2021,Trax FWD,406
Chevrolet,2021,Silverado 2WD,406
Chevrolet,2020,Silverado 2WD,624
Chevrolet,2024,Equinox AWD,364
Chevrolet,2023,Equinox AWD,364
Chevrolet,2023,Silverado 2WD,364
Chevrolet,2021,Trax AWD,624
Chevrolet,2020,Trax AWD,364
Chevrolet,2019,Trax AWD,364
Chevrolet,2022,Silverado 2WD,624
Chevrolet,2022,Trax AWD,411
Chevrolet,2021,Trax AWD,411
Chevrolet,2024,Silverado 2WD,411
Chevrolet,2022,Malibu,411
Chevrolet,2021,Malibu,600
Chevrolet,2020,Malibu,475
Chevrolet,2019,Malibu,475
Chevrolet,2020,Silverado 4WD,475
Chevrolet,2020,Camaro,475
Chevrolet,2019,Camaro,475
Chevrolet,2023,Camaro,485
Chevrolet,2022,Camaro,485
Chevrolet,2021,Camaro,485
Chevrolet,2024,Blazer FWD,485
Chevrolet,2023,Blazer FWD,372
Chevrolet,2022,Blazer FWD,372
Chevrolet,2021,Blazer FWD,462
Chevrolet,2020,Equinox FWD,576
Chevrolet,2019,Equinox FWD,374
Chevrolet,2019,Impala,374
Chevrolet,2024,Silverado 4WD,521
Chevrolet,2020,Equinox AWD,521
Chevrolet,2019,Equinox AWD,521
Chevrolet,2024,Blazer AWD,521
Chevrolet,2023,Blazer AWD,466
Chevrolet,2022,Blazer AWD,576
Chevrolet,2021,Blazer AWD,576
Chevrolet,2019,Blazer FWD,576
Chevrolet,2023,Silverado 4WD,576
Chevrolet,2023,Silverado 4WD,466
Chevrolet,2022,Silverado 4WD,576
Chevrolet,2021,Silverado 4WD,576
Chevrolet,2020,Blazer FWD,576
Chevrolet,2024,Tahoe 2WD,672
Chevrolet,2023,Tahoe 2WD,552
Chevrolet,2022,Tahoe 2WD,499
Chevrolet,2021,Tahoe 2WD,446
Chevrolet,2022,Silverado 4WD,446
Chevrolet,2020,Blazer AWD,644
Chevrolet,2021,Blazer FWD,644
Chevrolet,2020,Blazer FWD,644
